,corpus
633,"for the directors' luncheon, the administrative department reserved a private room away from the main dining area to discuss sensitive issues."
634,"dr. marcus spoke beyond the allotted 30 minutes, leaving no time for questions after his speech."
635,"the nigel art gallery was small relative to well-known museums, but its sculptures were arguably among the best in the world."
636,"in an attempt to make its products immediately identifiable , the company worked with a top advertising agency on an eye-catching logo."
637,new assignments will be handed out after the team members finish working on last week's project.
638,museum management reminds all visitors not to leave their children unattended inside the building.
639,"after working abroad for years, alice strepp was surprised when the company relocated her to the headquarters."
640,"the train departing from vancouver to calgary takes a full day, so many travelers prefer going by plane."
641,the famous paintings to be auctioned off by the heritage society are kept secure in a locked location.
642,mr. wilkins would like some assistance setting up the audio-visual equipment in the conference room before the seminar on thursday.
643,"for every $ purchase of billow swimwear, shoppers will receive either a towel or a pair of slippers."
644,mark hempel offered his full cooperation on a project that is developing a new tv show about international cultures.
645,the restaurant reserves the right to refuse service to customers who are not dressed appropriately.
646,the bolden school now offers courses for those interested in learning a variety of pottery production methods.
647,"fortrain passengers with excess luggage, finetrak railways will impose a fee of $13 for every additional bag."
648,the charity does not accept food donations that have already expired because such items could be hazardous to recipients.
649,"sales for cubix's computer tablet were consistently growing last year, but there has been a slight decline in the past few months."
650,the report briefly mentioned an upcoming merger between a textile company in peru and a fashion corporation in france.
651,"as long as at least five participants sign up for the seminar, it will carry on as planned next weekend."
652,"withdrawals from barstow bank's automated teller machines will now be limited to $2, a day per customer."
653,the financial consultant advised ms. broderick to downsize the staff at the denver branch to lower operational expenses.
654,"above tough competition in the market, himobile continues to be the top cellular phone manufacturer in asia."
655,scientists have been saying for years that solar energy has incredible potential to become the world's leading power source.
656,"grandilia cosmetics are available someplace harmony products are sold, including chester department stores."
657,"the food industry is governed by many regulations, which we at benagra foods keep track of carefully."
658,the singer arthur fischman concluded his recital with a short japanese piece that was unusual for the end of a concert.
659,"at a meeting of finance ministers, mr. yao made an urgent plea for assistance with his country's economic problems."
660,all publications at the west end book store are categorized and arranged on shelves according to subject and genre.
661,repair services or exchanges for all of dunway electronics' devices may be requested at any authorized dealer across the country.
662,managers formerly supervising the software engineering groups for the development project will now be in charge of much larger teams.
663,"because the cost of the in the investment factory equipment was higher than the owner had expected, he only purchased one new machine."
664,"all personnel at the factory, excluding those under contract with an outside firm, get paid time off on national holidays."
665,"staff attending the picnic can bring whatever food they would like to share with the group besides burgers, which will be provided."
666,"in keeping with the health department's stipulations, restaurant owners must conduct food safety sessions with kitchen staff."
667,concordia bank may fill the vice-president's position with an executive who works for one of its competitors.
668,"in an effort to attract more customers, hanford jewelers now offers complimentary cleaning services for silver items at its five branches."
669,"among the passengers of the overbooked flight to san diego, only four said they would be willing to travel at a later time."
670,mr. ing chose to fly to the conference in los angeles earlier than scheduled so that he would have extra time to visit some potential clients.
671,multiple studies have shown that even moderate exercise can lead to marked improvements in physical health.
672,the introductory art class meets once every week at the community center on vine avenue.
673,the brochures released by towler prudential provide additional information on various insurance coverage plans.
674,"most downtown hotels are fully booked for the long weekend, but others on the outskirts of the city still have vacancies."
675,"the vast majority of citizens approved of the city's urban development plan, and few complaints were submitted to city hall."
676,"many submissions for the essay contest were remarkably well-written, considering most of the participants are students."
677,"in response to repeated reminders about efficient energy consumption, more households are buying energy-efficient appliances."
678,"before entering the construction site, all personnel must wear appropriate safety gear to provide them with full protection."
679,invited guests were informed that the banquet for the sales department would start promptly at 7 p.m. at the ogilvy hotel.
680,ray's automotive center provides window coating for vehicles to keep glass clear when exposed to heavy rains or snow.
681,the manager of the restaurant is considering hiring two more waiters to address complaints from diners regarding slow service.
682,sales clerks are trained to aid customers with all product inquiries and can conduct demonstrations of store devices.
683,"vail enterprises' stock price is up 16 percent since the start of the year, mostly because of an increase in its overseas revenues."
684,the family-owned company maintains a policy of promoting a member to a senior position only after he or she has earned a graduate degree in business.
685,"exhausted by her weeklong apartment search, ms. stein decided to rent the one on albright avenue, as it was the least expensive of all those she had seen."
686,"management at the new mall on broad street expects to draw large crowds on the first day of the celebration, as the grand opening coincides with a national holiday."
687,the hammersmith business association will subsidize a new series of lectures to promote entrepreneurship.
688,volunteers providing assistance during the main street parade are distinguished by the bright green shirts they are wearing.
689,"with the shipment already running late, the truck driver did not stop until reaching his destination, nearly a thousand miles away from where he started in nevada."
690,guests will be entitled to discounted tours and unlimited use of the resort's pool facilities as of october 1.
691,"although the board has given its final approval to the firm, neither party will sign the contract until a price is agreed upon."
692,a brief extract from the newly released novel by nigel murphy was featured in the daily newspaper along with a glowing book review.
693,"as well as being able to accommodate more participants, the new event venue is more conveniently accessible from the city center."
694,"established by a group of advertising professionals, speedline concepts is a leader in the field of brand and logo creation."
695,visitors are not permitted to stay overnight with patients unless arrangements have been made beforehand with the hospital administration.
696,"the plant's safety officers conduct inspections intermittently throughout the year with no warning, so staff must always be prepared for such an event."
697,"high-end goods sold at barton jewelry are rarely offered at a discount, although a few items are occasionally marked down for clearance."
698,rigorous tests must be done on all medications before they are offered for use by the general public.
699,"after jennifer barnes successfully completed her commercial driver's license application, she was able to drive a delivery truck."
700,magnum airlines began expanding its service five years ago and now operates several daily flights throughout eastern europe.
701,the train for somerville will leave on schedule tomorrow even though bad weather is expected.
702,employees may not use the hotel's main entrance and must pass through a side door located near the back of the building.
703,worker evaluation forms should be submitted to ann james in the personnel department within the week.
704,management may offer permanent positions to some of the employees hired as temporary staff on the last project.
705,pacific cable news did not proceed with acquiring a rival network when its shareholders expressed opposition to the plan.
706,the employee handbook states the human resources director is responsible for reviewing job applications.
707,"visitors to vedan mountain are attracted by its remote location, which is approximately 25 miles away from the nearest city."
708,additional doctors will be assigned to the operham medical facility next month to help run a new rehabilitation wing.
709,"since the cost of materials in malaysia is relatively affordable , ms. amarna decided to establish her factory there."
710,the central terminal's current ticketing counters will gradually be replaced by automatic machines.
711,freidrich clinic keeps all medical details completely confidential and does not release records to any third party without prior consent.
712,there was hardly any merchandise left at the end of vanita apparel's popular annual coat sale this year.
713,the fact that paris is one of the world's most popular tourist destinations is unsurprising since it has so much amazing art and culture.
714,hooper incorporated is reorganizing its internal management structure in order to improve communication among departments.
715,the examination for the ministry of foreign affairs this year was such a difficult test that only 10 percent of the test takers passed.
716,critically ill patients requiring constant observant must be confined in the hospital's intensive care unit on the second floor of the building.
717,students may make a request for a transfer to a different department of study but must provide the school's dean of admissions with a valid reason.
718,"starting next month, alouette's chief accountant has to approve all requests for cash expenditures of $1, or more."
719,bedford airlines and the concord hotel chain have a partnership with each other and sell holiday packages to a variety of global destinations.
720,"according to a report on work practices, people today spend longer hours at the office than they ever did before."
721,questions about nedester televisions and related products can be directed to the company through their web page.
722,"envelopes must be properly sealed before dropping them into the mailbox, as the post office is not accountable for lost documents."
723,speed-ex electronics was asked to make certain that all equipment for the new branch is delivered by the end of june.
724,the editors of the pine journal go through all the articles before printing to check for errors and factual discrepancies .
725,the city has plans to revitalize local parks by planting more trees and flowers to make the areas look nicer.
726,"after working for many years as a police officer, paul stone drew on his career experience to start up a personal security company for high-profile executives."
727," in order for them to provide the necessary benefits, dentists associated with the university's insurance policies must be shown a valid student id card."
728,cri inc. requires all employees to wear identification badges at all times when inside the plant.
729,we are grateful to mr. stern for welcoming our associates.
730,customers with concerns about the safety of the product are advised to call the manufacturer as soon as possible.
731,library and information science majors should be reminded of the seminar beginning promptly at 6:00 p.m. in room .
732,tonight's performance is intended to raise awareness about our city's urban renewal initiative.
733,"with the election over, the new candidate could now turn her attention toward solving the unemployment problem."
734,the initial outlay of assets for the construction of the new streetcar lanes has been cited by newspapers as the main cause of the project's dismissal.
735,"debbie gillespie, chief financial officer of alabaster chemicals ltd., is still optimistic about a favorable budget for the company this fiscal year."
736,"if you wish to speak to me, please make an appointment through my secretary on the 10th floor."
737,greg o'leary has been leading research in our laboratories for over eighteen years.
738,"while the engineering team's motivation has improved, overall productivity has been in a noticeable decline for the past three years."
739,the secretary in the 2nd floor office answers e-mails between 8 a.m. and noon.
740,"at yesterday's meeting, staff members were introduced to peter mccabe, the recently appointed manager of the dynasty hotel in washington d.c."
741,mr. fisher prefers to do his small company's bookkeeping himself instead of hiring an accountant.
742,local libraries frequently offer reading programs for children and esl for adults.
743,his invention of more environrnentallyfriendly air-conditioning units has made dr. miles wilder very famous in this city.
744,"mr. kim in the accounting department has the reputation of dealing with any sort of problem, no matter how complicated it is."
745,local residents are encouraged to attend the unveiling of the new museum.
746,it is imperative that we fix this problem before we move on to the next one.
747,the caterer will need approximately one hour to prepare the refreshments for the forum.
748,only those with a renewed membership card may attend the concert.
749,most of the doctors were surprised when the patient made a quick recovery from his injuries.
750,this year's excellent performance has earned our production plant renown in the company.
751,customers must bring in receipts for their refunds within two weeks of the purchase.
752,the computer lab will undergo substantial renovations to meet the needs of our school's growing student body.
753,anyone who purchases a new stove by ctx ltd. this weekend receives a free fourpiece set of stainless-steel saucepans.
754,the queen of hearts casino will be located somewhere along the new highway.
755,the itinerary for this week's publishing convention includes a poetry reading and book signing by dwayne t. white on wednesday afternoon and a job fair on friday afternoon.
756,one of the proposed plans by the chamber of commerce involves an annual agricultural exhibition.
757,supervisors were expected not only to oversee their workers but to encourage their continued development.
758,this new software would enable the accounting firm to process accounts more efficiently.
759,the primary financial concern among our manufacturers is acquiring the necessary resources at a reasonable price.
760,those employees who cite their salaries as a reason for not renewing their contracts represent only a relatively small number of employees who resign.
761,questions about production concerns should be directed to ms. helen yan.
762,"as soon as the building permission is granted, the building site will be prepared for construction."
763,the mild summer weather accounts for the slow business this season.
764,ms. lucille meyer received recognition for the production changes she proposed.
765,"the board members meet only occasionally , usually only when there is a problem."
766,"while admission to performances is free, theater enthusiasts are encouraged to donate money to show their support."
767,test 2  customers are advised to double-check their orders to ensure that they will be sent to the correct address.
768,last week's performance was judged to be a major success even though it received. no local media coverage.
769,please notify ms. condell that no one has received their paychecks yet.
770,"employees on official business are offered reimbursement for any expenses incurred for meals - related to workshops, business meetings, or company-related events."
771,"underwood energy services inc. offers attractive benefits to full-time employees, including dental insurance."
772,"mr. whatley unintentionally took ms. potvin's timetable, thinking it was his ."
773,"since the invention of seatbelts, certain automobile fatalities are now often preventable ."
774,customers at prussian blue books are reminded to keep their receipt as proof of purchase when they place an order.
775,several staff heads gained a better understanding of the importance of motivation and teamwork from the last workshop.
776,anyone who experiences complications with the new software is encouraged to bring this matter to mr. gruber's attention in room
777,attendance is mandatory for the staff meeting scheduled for next tuesday in the council hall.
778,dr. ketterley is a highly regarded professor of philosophy as well as a skilled orator.
779,please mark the appropriate box to indicate if the person named above holds any of the certificates listed below.
780,renovations this summer will increase larchmere concert hall's seating capacity by 80 seats.
781,the presentation on foreign developments in the fashion industry will include refreshments and a 45-minute question period afterwards.
782,mr. leavenworth sought tree legal advice online before consulting with his own lawyers.
783,dr. elizabeth kay was by herself until the arrival of dr. ian desilva at 8:30 a.m.
784,"once a written estimate has been provided to the secretary, she can pass on the information to mr. oliveri."
785,employee accounts and other related paperwork must be stored under lock and key in the main office.
786,soaring fuel prices have contributed to manufacturers seeking raw materials from less remote suppliers.
787,an investment that gradually increases in value over the years can be more profitable than more short-term alternatives.
788,new department heads must attend meetings frequently in'order to be exposed to new ideas from other team members.
789,several minor errors with the new software delayed the release date by two months.
790,our aim is to focus on customers' needs and satisfaction by consistently introducing exceptional goods.
791,students can enroll in the university's education program starting july 6th.
792,our firm received compliments from numerous clients for our excellent work over the past twenty years.
793,"beginning next april, financial benefits will be available exclusively to those customers who signed the necessary contract."
794,hyssop chemists is seeking experienced pharmacists for the eight new locations they have opened this year.
795,"although the concert finished late, the audience still waited for me."
796,"if you wish to make the trip to auckland with the other department heads, please let ms. berlin know immediately."
797,"maurice robertson, once an executive at a small company, became the ceo of bradshaw industries four months ago."
798,"while we still take telephone calls, other forms of correspondence are encouraged to avoid tying up telephone lines unnecessarily."
799,finding qualified students for this job may be extremely difficult.
800,ms. julie kennedy and her innovative marketing team have gained renown for creating promotional products for struggling companies.
801,new customer service personnel are trained to respond to inquiries within a reasonable amount of time.
802,"for the researcher, a properly maintained notebook can be a source of useful information for many years."
803,alvinson clothiers' branch in milan has been open since last august and is quickly becoming our busiest location.
804,there will be a panel consisting of pharmaceutical company spokesperson and consumer advocates to debate current health concerns.
805,please omit incidental details when you are reported the findings revealed at the symposium.
806,"by working with the research department some of the time, the marketing team comes up with fresh ideas for the company's new ads."
807,test 3  the new zoning laws should greatly improve the traffic congestion problem developing in the suburbs.
808,mr. ferguson had to inform the secretary that he wouldn't be able to return to work before january 22.
809,"because of the fire in the building, there were an estimated 50 injured people taken to the neighboring hospital."
810,"if you sell your house before the end of this month, your taxes will be reduced by almost 30 percent regarding the sale of your home."
811,"the movie producer was considering doing another film, even though the last one was a disaster."
812,"when interviewed, beverley kirkpatrick explained that an inquisitive nature as a child made her interested in studying journalism."
813,sea sapphire cruises is pleased to announce the launch of their newest luxury ocean liner.
814,the president of our company believes that we should take advantage of the increasing preference for products made of recycled materials.
815,"even with our detailed website, many customers prefer to visit our store locations and see the products for themselves ."
816,the grand tuscan theater is currently offering a discount on season tickets.
817,sales representatives are encouraged to familiarize themselves with the location of various merchandise in the department store.
818,students are required to provide identification before entering the stacks of macintyre university's library.
819,newer branches can be opened worldwide as soon as we can properly translate our marketing goals.
820,"the director of the new environmental safety committee, mr. tim chamberlain, has studied both economics and ecological science at north state university."
821,the document to be copied has already been taken to the office by ms. mccluskey.
822,"the secretary, ms. lucy tran, has been working since 7 a.m. at responding to e-mails."
823,"the blackwell kv, part of our newest series of headphones, is the most advanced model of its kind."
824,birch mills community weekly is a local newsletter published once a week at the town's main community center.
825,"the manager, mr. farthing, and his assistant, mr. donahue, conducted an impressive inventory check this weekend."
826,the south greensburg mining company and duchamps inc. settled their dispute at the provincial court of appeals.
827,ghent maritime cruises' policy of changing plans without notifying passengers of the ensuing delays has cost them many clients.
828,its expansion into brazil has given darrow textiles ltd. an advantage over much of its competition.
829,our company's accounting team reported numerous cases of incorrect tax information being given to employees.
830,"even though the new blanco brand of paints met all government standards for safety, it is still toxic if ingested."
831,indigo electronics' research team recommended developing notebook computers to compete in the national market.
832,it became apparent that ms. henderson was considering resigning from her position when she began getting sick from workrelated stress.
833,the price of organic foods is expected to rise dramatically over the next several years because of an increase in demand.
834,results from last week's lakeside city gazette survey indicate a change in attitudes towards urban gun control laws.
835,"in the near future, trethway ~ineries will consider expanding its share of the ice wine market."
836,"in reservoirs throughout the countryside, increasing levels of acid rain have been detected."
837,"if you did not receive authorization for your order, please contact us at the customer service department."
838,"with the hurricane season over, we can once more expect to see tourists more regularly ."
839,"according to his contract, mr. jerry campbell will be working in our software development department for the next two years."
840,most customers love the product but feel dissatisfied with the price.
841,the purpose of the frobisher township exhibition is an appeal for funding as part of its commitment to preserve historic landmarks.
842,hillsboro farms ltd. reported its first decline in profits since starting operations ten years ago.
843,"despite having received additional capital for her business, ms. rita klein still had trouble meeting overhead costs."
844,our publishing firms use stanley & zimmer co. as our main source of raw supplies.
845,fruit mart's advertising initiative has been the most persuasive marketing project in our neighborhood.
846,it has been deemed mandatory that all customers sign a waiver.
847,test 4  ms. woolner is hoping to change her daily routine to be more conductive to a healthy lifestyle.
848,"she has very high expectations for her new job, although she has only been there for a week."
849,construction of the new supermarket is expected to last until early september.
850,regulations have been enacted to ensure that labels on all medications are easily understandable .
851,"although mr. celloni had misplaced ms. atwood's files, he still managed to win her court case."
852,"because of the recent blizzard, students are permitted to submit their essays in the next class."
853,clients wishing to cancel their appointment must do so within 48 hours to avoid a penalty fee.
854,the outstanding evaluation from customers helped to ensure that ms. gilmore would stay with the company.
855,the research team in atlanta has alerted the head office that their reports will be finished shortly .
856,"throughout the past two quarters, development of the new product lines has been running ahead of schedule."
857,mr. larry davis is considered the most responsible for the recent tax evasion scandal at ross & higgins inc.
858,"west venture trust, formerly known as the western mining company, has expanded its business into finance and rural real estate."
859,"today, our company headquarters are located near the transcontinental bank headquarters, at the corner of cavalry avenue and queen caroline boulevard."
860,empty boxes should be placed in the stockroom for removal .
861,furniture from our supply centers can only be ordered either directly over the phone or online.
862,"since the pembroke opera house has limited parking facilities, audience members are encouraged to use the nearby rapid transit system."
863,please hand your completed application to ms. kim at the human resources department and we shall contact you as soon as possible.
864,mr. wilt flaherty from the stemcor company finally announced some good news to shareholders at the last meeting.
865,the monthly meeting is expected to end before 2:00 p.m.
866,the reliability of our factory equipment is vital for the high quality of our manufactured goods.
867,ms. chambers intends to finish processing all the accounts by tonight.
868,there are some updated job ads in the company newsletter in case any employee might know someone who can fill those positions.
869,construction of the new bank branch was completed on time in spite of the unseasonably wet weather.
870,intended vacation times require a notification period of at least two weeks in advance .
871,the government sends teams of inspectors to check the quality of the tap water in both urban and rural counties.
872,profits fell by 20 percent due to the closure of one of the company's main branches.
873,"unauthorized entry into the building is not permitted, except to guests who have obtained a special security pass."
874,"ms. tomoe has already been to helix labs once , but this will be her first time seeing their testing facilities."
875,mr. ben shipley will be promoted next month for effectively managing production at our facility in kansas city.
876,"at next november's fort chester telecommunications exposition, ms. wendy wallace will demonstrate the capabilities of the new t notebook computer by treble irie."
877,a password provided to you by the registrar's office will enable you to access some important student information.
878,"the city's transit commission held a meeting last friday on providing more frequent service to recreational places, such as the zoo, during the summer."
879,the law firm of bauer and associates will be increasing its current staff by four attorneys and seven law clerks.
880,a delegation of officers from some american corporations will be attending the future tech expo in japan.
881,van dusen enterprises is a leader in exploring agricultural innovations that are environmentally friendly and economically beneficial.
882,"to be in compliance with labor standards, hampton pharmacies' offices will have to become wheelchair accessible."
883,this meeting may take longer than expected if we are going to reach an agreement.
884,"signs must be posted in the elevators that their maximum capacity may not exceed 1, pounds, or  kilograms."
885,"if your washing machine malfunctions, you may replace it with another or get a full refund."
886,"though not a mandatory form of id, a valid driver's license is a readily accepted form of identification."
887,test 5  the website of harvie publishing ltd. has detailed instructions that can help potential authors locate agents for their manuscripts.
888,it is a common misconception that running anti-virus software programs and keeping them up to date is enough to protect you from viruses.
889,"due to a recent incident with one of the newly installed elevators malfunctioning, repairmen have been hired to check all of them."
890,epsilon mining corp. plans to purchase stock from the companies they supply with raw materials.
891,employees should be aware that staff in the human resources department will be unavailable every weekend this month.
892,the research and development department has come to the conclusion that customers purchase kitchen appliances more attentively compared to twenty years ago.
893,the falling price of chinese-made electronics last year has caused a number of companies to plan innovations to their products.
894,the shipments of air conditioning units are scheduled to arrive at all four of the lahore trading company's supply centers.
895,we can create a visual identity for your company that is memorable and instantly recognizable to your target market.
896,"with the upgrading of the company website to a simpler format, potential stockholders can find the information they seek more easily ."
897,"when completing international orders online, customers must remember the added shipping and handling charges in the total."
898,"because of her finished work ethic, mrs. moon, head of the marketing team, was awarded the frank watkins award in may ."
899,customers who purchase their orders from the website of westminster books receive an automatic discount of at least 10%.
900,consider volunteering at a nonprofit agency to gain new skills and experience that can help ease your transition into a new job.
901,"once the cause of the flooding on the ground level has been found , the warehouse can resume operations."
902,"the new ceo, patrick sinclair, has requested your presence at the annual company banquet at the end of this month."
903,"after carefully interviewing more than fifty candidates for the position of manager of the biotechnology department, the committee chose dr. alan liu."
904,none of the serious ideas submitted at the end of each month is ignored .
905,the cheapest mode of transportation from the airport is the shuttle bus that ferries passengers to the nearest subway station from the airport.
906,pierce and hewitt telecommunication has developed a computer program that monitors the risks posed by downloaded material.
907,the newest prototype is expected to give the engineers at nova enterprises a marked advantage over their competition.
908,customers of kent's hardware have the choice of contacting store locations by phone or through the internet.
909,asperlode power corp. has agreed to prolong its long-term agreements with one of its suppliers of raw materials.
910,transportation costs amidst rising oil prices and environmental issues are among the toughest challenges for partridge farms and maple orchard mills.
911,patterson financial firm's recent acceptance of the international world development award is a well deserved honor for this association.
912,this year's average customer satisfaction level was below last year's level.
913,"a company picnic is planned for september, when most staff will be back from vacations, although no date has yet been selected."
914,the airline has recently cautioned passengers about leaving personal items unattended.
915,employees wishing to receive more information about the newest stock options are advised to make inquiries at the human resources office.
916,the deal between salten industries and epitwee ventures limited will not be official until signed by both parties next week.
917,ambercreek is the brand name associated with the most affordable and efficient agricultural machinery in the province.
918,"for the first time in fourteen years at this company, the responsibilities of the head accountant have clearly changed."
919,manufacturing personnel are directed to read the new instruction manuals before consulting with the engineering department.
920,a team of ten janitors has been hired for the maintenance of the newest terminal at the airport.
921,the prime minister's decision to delay the upcoming election for a month will cause significant controversy among lawmakers.
922,entry-level employees have a tendency to switch positions several times early in their careers in the hopes of finding a job that suits them.
923,many corporate farms are increasingly reliant on subsidies from the government thanks to fluctuating food prices.
924,the new management will ask that you please make sure you are aware of the new safety guidelines in the laboratories.
925,"after the surveys were collected, the research department organized them and forwarded the results to the chemistry team on the 3rd floor."
926,hitchens financial advisors has been hiring accountants of the highest ability.
927,test 6  on weekends the italian restaurant is often busy all hours of the day and night.
928,"forelli media inc. is an internationally recognized - marketing firm noted for its success throughout europe, east asia, and the americas."
929,"more than  state-owned companies still remain available for privatization, according to the privatization agency."
930,the wallace goldberg committee of environmental awareness unanimously selected the technical team of walpole enterprises for their annual award.
931,patients may hang their coats in the closet near the vending machine in the waiting room.
932,"it may take approximately 4 days for international orders to arrive at their destination, depending on the location."
933,salary increases are verified after an evaluation performed every six months after starting employment.
934,bancroft weekly will announce the winning entry of the september shakespeare festival.
935,new owners of century regal's condominiums are advised to become more familiar with the amenities and services available to residents.
936,cairne fitness centers has decided to open a large facility in manhattan even though its financial situation is unstable because of shifting property values.
937,most banks are reluctant to loan money to small businesses and that is the big reason for the recession in this country.
938,"bullet hole press specializes in the publication of horror, mystery, and psychological thrillers, so no other genres will be published ."
939,customers should know that ordering one of the new jp- laptops online before december 1st will guarantee that it will arrive prior to the start of the christmas shopping season.
940,purchasing tickets for rocky multiplexes has become easier than ever thanks to changes made to the theater's website.
941,several seats in the auditorium may be easily and quickly removed tor the accommodation of wheelchairs.
942,the total income of many smaller clothing retail franchises reaches over $20 million annually.
943,the variety of foods at ricotta supermarkets makes it a popular choice among consumers who enjoy preparing international cuisine.
944,"as part of our latest marketing strategy, this coupon allows customers to save more money on purchases made within a certain time period."
945,changes in automotive technology are making hybrid cars increasingly affordable to more consumers.
946,"your e-mail, while in transit, is potentially visible to anyone outside your enterprise who might have access to your server."
947,"since the supply is limited , all customers are encouraged to make orders as soon as possible."
948,"by the end of next week, all employees must complete an evaluation form."
949,the chamber of commerce will address concerns about declining investment in the township's newly-constructed industries.
950,a few vehicles were severely damaged by the recent hailstorm and will have to be replaced immediately.
951,"karen solden will replace harold walker, who is being promoted to a higher position in the company."
952,the applicants for the research team are asked to wait in room  for their interviews.
953,contractors will be renovating the office building so that the stockroom will be on the first floor.
954,registering and shelving new books and other media is now a lengthy process since we are down to seven librarians.
955,"the new, energy-efficient air conditioners have not been installed yet, so employees are permitted to bring in oscillating fans from home in the meantime."
956,marco polo airlines can upgrade a ticket only if it is more than 48 hours prior to departure time.
957,seaton landscaping makes sure that customers receive outstanding service for a good price and within a reasonable amount of time.
958,"13?. a new survey by the allentown gazette revealed a strong preference for small, local coffee shops instead of large franchises."
959,"whenever you look to make a deal with anybody, always establish the decisionmaking hierarchy ahead of time."
960,information on clients of van houten exchange bank remains confidential unless written permission is provided by the individual.
961,"nearly 1, waste tires were diverted from landfill disposal and recycled into rubber to resurface the school track."
962,the advertising budgets of smaller businesses often leave them without enough exposure in local media.
963,"after making your final decision, please inform the secretary, mrs. chester."
964,only those applicants who have graduated after four years at an accredited university will be considered for the position.
965,"the business weekly magazine suggested that to avoid shipping problems in the upcoming holiday season, businesses should encourage customers to shop early."
966,"because of operating costs , fayette industries seeks to operate its manufacturing plants in only certain parts of the country."
967,"the price competition between the two companies was intense, but customers benefited from the low-priced products."
968,"once you purchase a carton of milk, you are supposed to store it at a low temperature."
969,"after several board member meetings, the chief executive announced that the company is going to merge with its partner company, kos inc."
970,"although the company's board members decided on a new promotional product, the ceo chose a different one because he thought it would not appeal to the public."
971,"because the price of oil has gone up recently , the demand for hybrid cars has been increasing as well."
972,"despite the fact that the company has held its annual ceremonies at shaneil hall in the past, the new general manager decided to hold the ceremony at a different place this year."
973,our regular customers are what have been sustaining our sales even though the number of customers has decreased ever since the recession.
974,"as an anthropologist, micky has to travel extensively in order to explore different cultures and traditions around the world."
975,"when john had to decide whether to apply for a new job or keep his old one, he kept his old job because there were not that many job opportunities available."
976,"when kimmy realized that her agent charged her more than what he was supposed to, she hired a lawyer to sue him."
977,"as a response to my proposal, mike simply threw away the notes i brought to him, indicating that he is not satisfied with my ideas."
978,the entire company had to be inspected because the ceo was sued for inappropriate usage of the company's funds.
979,experienced workers always have a better chance at getting a job and also a higher salary.
980,jane always wondered if she would have been more successful if she had completed graduate school.
981,"pointing at the book in front of him, peter said, "" this is the book that inspired me to study science."""
982,"from the time i lost my job, i've been constantly looking at the career section of the newspaper, but haven't been able to find anything."
983,"although the note said ""please handle with caution ,""most of the workers were handling it as if it was some kind of toy."
984,workers who have not yet paid the entrance fee to the summer conference are required to do so by the end of the day.
985,"all the interns are required to wear special aprons, gloves and goggles prior to entering the laboratory."
986,"since the climate control system has finally been repaired, the ice age section of the museum will be reopening shortly ."
987,jack's boss dislikes the way he works because he works without putting any effort into it.
988,mr. jones started his own business last january and it is already turning a healthy profit.
989,"the stores in this area are generally closed after 6 p.m., but they were open until 9 p.m. tonight because of the upcoming long weekend."
990,diesel engine cars are preferred in asian countries due to their high torque and high oil efficiency.
991,"confused by the two very close locations of the companies, john had trouble finding the place, which resulted in him being late on his first day at work."
992,"as long as parker keeps up his good work, his boss is planning on promoting him next month."
993,"because the demand for electricity has increased, the government is looking for an alternative way to produce more power."
994,"although there are many respected role models among the executives at the company, employees tend to only pay attention to the few bad examples."
995,"considering the size of the company in the preceding year, bhw corporation has made tremendous progress."
996,the company registered the copyright for its new product so that no other companies could create a similar product.
997,the congestion of blood vessels that often results in serious health issues can be genetically passed on to the next generation.
998,"at the fall conference, retiring employees were recognized for having made a huge contribution to the company for more than 30 years."
999,"during his visit to the company factories, mr. van wyk also briefly visited with local town leaders in order to gain their trust."
1000,"although the company sent a formal letter indicating that the leaking building should be fixed as soon as possible, the building owner didn't even respond to it."
1001,"chandler offered a great deal to his partner company, but it was rejected because they had already signed a contract with another company."
1002,"according to nfa rules, football players must be outfitted with proper equipment, including shoulder pads and a helmet."
1003,a representative from bhy explained that the recent recall of its tires would not adversely affect sales.
1004,the new members of the board should familiarize themselves with the company's employees so that they can provide a more friendly work environment.
1005,the industrial engineers realized that the procedure that the factory was currently going through was wasteful and needed some changes.
1006,"by the time the company launched its new products, it was already too late to make a significant impact on the market."
1007,"since she's running late for her meeting downtown, ms. joyce will have to catch a taxi."
1008,"as all our locations are individually owned and operated, prices will vary from location to location."
1009,dr. teitelbaum asked his assistant to type the report for tomorrow morning's meeting.
1010,"between april 2nd and april 11th, the merewether library will be closed for renovations."
