,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
happiness,"행복, 만족, 기쁨",,행운(good luck),,"(표현 등의) 교묘, 적절(felicity)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
discontinue,(특히 정기적으로 계속하던 것을) 중단하다,(생산을) 중단하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
progress,진전; (목표 달성완성을 향한) 진척[진행],(앞으로무엇을 향해) 감[나아감],진전을 보이다; 진행하다,(앞으로) 나아가다,(시간이) 지나다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elia,Charles LAMB의 필명,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clock,(벽에 걸거나 실내에 두는) 시계,,(경주 등에서 속도가 얼마의 시간을) 기록하다,(속도를) 재다[측정하다],(사람을) 주시하다[알아보다],(불법적으로) 주행거리 기록계의 숫자를 줄이다[조작하다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skyrocket,급등하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beginning,"초(반), 시작","(사상·일 등의 단계적) 출발, 시작",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
village,"(시골) 마을, 부락, 촌락","마을 사람들, 부락민들",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
expressly,"분명히, 명확히",특별히,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wellesley,Arthur.,"Richard Colley, 1st Marquis, (1760-1842): 아일랜드 태생인 영국의 정치가·행정관; 인도 총독(1797-1805); Arthur의 형.","미국 Massachusetts주 동부, Boston 근처에 있는 도시.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
settling,"고정, 붙박아 안정시킴","맑아짐; 침전, 침강; [pl.] 침전물, 찌끼, 앙금","결정; 해결; 청산, 결산","식민, 이주",(바닥 등의) 내려앉음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
displayed,(문장(紋章)에서) &lt;새가&gt; 날개를 펴고 다리를 벌린,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interstellar,"행성 간의, 성간의",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agenda,의제[안건] (목록),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
borrow,빌리다,(돈을) 꾸다[빌리다],(어휘·사상 등을) 차용하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comparatively,비교적,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slow,"느린, 더딘, 천천히 움직이는",완행의,"미적거리는, 지체하는","이해가 느린, 둔한","한산한, 활기가 없는",(시계가) 늦은,(필름이) 감광도가 낮은,"느리게, 천천히, 더디",천천히 가다; 속도[활동]를 줄이다[둔화시키다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
physician,의사; 내과 의사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
strive,분투하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horror,"공포(감), 경악",~에 대한 공포[~을 몹시 싫어함],~의 참상,참혹한 경험,공포물(책·영화 등),골치 아픈 아이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
self,"(어떤 사람의 평상시) 모습, 본모습","자아, 자신","자기 자신의 이익[기쁨], 이기(利己)",&lt;사람을 가리키는 경우에 씀&gt;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
registrar,(특히 출생·혼인·사망 신고를 담당하는) 호적 담당자,(대학의) 교무과장,(영국 병원에서) 전문의 수련의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stance,(어떤 일에 대한 공개적인) 입장[태도],(특히 스포츠 경기 때의) 자세,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experience,(지식과 기능을 쌓게 되는) 경험[경력],(어떤 일을 실제로 겪거나 당한) 경험,"(개인적으로 영향을 주는) 일, 체험, 경험",(특정 사회 집단 전체의) 체험,"겪다, 경험하다",(특정한 감정신체적 느낌을) 느끼다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filing,서류 철하기[정리],(공적) 기록물,줄밥(쇠붙이를 줄로 갈 때 생기는 조각),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
telecommunication,[U] (원거리) 전기 통신; [pl.; 단수 취급] 전기 통신 공학; [컴퓨터] 전자 통신 ((통신선을 이용하여 한 장소에서 다른 장소로 자료를 전송하는 것)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
initial,"처음의, 초기의",이름의 첫 글자[머리글자],성명의 첫 글자[머리글자]들,성명의 첫 글자[머리글자]들을 표시하다[서명하다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spend,(돈을) 쓰다[들이다],(시간을) 보내다[들이다],(에너지노력 등을) 들이다[소비하다],"비용, 경비",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
motivation,"자극, 유도",[심리] (행동의) 동기 부여; 학습 의욕 유발,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acknowledge,(사실로) 인정하다,(권위나 자격을) 인정하다,(편지·소포 등을) 받았음을 알리다,"알은 척하다, 안다는 표시를 보이다",(공식적으로) 감사를 표하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solutions,"(문제·곤경의) 해법, 해결책","(퀴즈·수학 문제의) 해답, 정답",용액,용해,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usher,(교회극장 등의) 좌석 안내원,(법정의) 정리(廷吏),(결혼식장의) 안내 담당자(신랑의 친구가 맡음),안내하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soon,"곧, 머지않아, 이내",빨리,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kiln,(벽돌 등을 굽는) 가마,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
safari,사파리 여행(특히 아프리카 동부·남부에서 야생 동물들을 구경하거나 사냥하는 여행),여행[출타] (기간),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trading,"(상)거래, 영업",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kay,(알파벳의) K; [속어] (복싱에서) 녹아웃,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project,"(연구생산개선을 위한) 계획[기획](된 일), 프로젝트","과제, 연구 프로젝트(학교에서 한 주제에 대해 어느 정도 기간에 걸쳐 세심히 해야 하는 것)",(흥미관심을 끄는) 목표[활동],,계획[기획]하다,(현 상황을 근거로 규모비용양 등을) 예상[추정]하다,(빛영상 등을) 비추다[투사/투영하다],"(드러나게) 튀어나오다, 돌출되다",(특히 좋은 인상을 주도록) 보여 주다[나타내다],(자기로부터 멀리) 던지다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disagreement,"의견 충돌[차이], 다툼",(같아야 할 두 가지 사이의) 불일치[차이],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crane,"기중기, 크레인","학, 두루미",(무엇을 더 잘 보려고 몸이나 목을) 길게 빼다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corrodes,부식시키다; 좀먹다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
screen,(텔레비전컴퓨터) 화면,"(영화의) 화면, 스크린",영화,"칸막이, 가리개","차폐물; 눈가림 (장치), 장막",방충망,(교회의) 칸막이벽,"가리다, 차단[보호]하다",(특히 범인 등을) 은닉[보호]하다,(특정 질병이 있는지) 검진하다,(직원에 대해) 신원 조사를 하다,"(적절한지) 확인하다[거르다], 가려내다",(영화를) 상영[방영]하다,,,,,,,,,,,,,,,,,,,,,,,,,,
resign,"사직[사임]하다, 물러나다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
churchill,"처칠 Sir Winston  ~ (1874-1965) ((영국의 정치가·저술가; 수상(1940-45, 1951-55)))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unworkable,실행[실시] 불가능한,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kitchen,"부엌, 주방",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cruelty,잔인함; 학대,잔학 행위,불공평한 일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
organizational,조직(상)의; 유기적 구조의; 관리 기관의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
insist,(…해야 한다고) 고집하다[주장하다/우기다],(특히 다른 사람들이 믿지 않는 것을 사실이라고) 주장하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rocky,"바위[암석]로 된, 바위[돌]투성이의","고난이 많은, 험난한",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
choice,선택(하는 행동),선택권; 선택 가능성,선택(된 사람것),선택 가능한 수[범위],"아주 질 좋은, 고급의","(최상급은 아니지만) 상당히 질 좋은, 상등급의",세심하게 고른 말/어구,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
draw,(색칠은 하지 않고 연필펜분필 등으로) 그리다,(부드럽게) 끌어당기다[뽑아내다],끌다,"(커튼 등을) 걷다, 열다; 치다, 닫다",(언급된 방향으로) 이동하다[움직이다],(공격하기 위해 총칼 등을 꺼내서) 겨누다,(사람의 마음을) 끌다,(반응을) 끌어내다,더 많은 이야기를 끌어내다[하게 하다],(결론생각 등을) 얻다[도출해 내다],"(비교대조 등을) 하다, (유사점차이점 등을) 이끌어 내다","(제비를) 뽑다, 추첨하다; (제비뽑기추첨으로) 정하다",비기다,(은행 계좌에서 돈을) 인출하다[찾다/뽑다],(액체나 가스를) 뽑아내다[퍼올리다],(연기나 공기를) 들이마시다[빨아들이다],"추첨, 제비뽑기","무승부, 비기기","추첨, 제비뽑기",(팀이나 선수를 추첨해서 정하는) 추첨식 시합[경기],(팀이나 선수를 추첨해서 정하는 일련의) 추첨식 시합[경기],인기를 끄는 사람[것],(담배 연기를) 빨아들이기,,,,,,,,,,,,,,,,
listener,"듣는 사람, 청자",(라디오) 청취자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
throw,던지다,(아무렇게나 재빨리) 내던지다,"내동댕이치다, 거칠게 집어던지듯이 하다",&lt;몸이나 몸의 일부를 갑자기 내던지다시피 하다&gt;,(사람을) 내동댕이치듯 하다[거칠게 쓰러뜨리다],(어떤 상태로) 내몰다[빠뜨리다],(의심비난 등을) 던지다[…에로 향하게 하다],"충격을 주다, 당혹스럽게[놀라게] 하다",(주사위를) 던지다,(돌림판으로 도자기를) 빚다,(빛그림자를) 던지다[드리우다],(복화술로 입이 아닌 다른 데서) 목소리를 내다,(주먹을) 날리다,(스위치핸들 등을) 돌리다[넣다],(성질 등을) 부리다,(파티를) 벌이다[열다],(이겨야 하는 경기대회를[에서]) 내팽개치다[일부러 지다],"(특히 공주사위를) 던지기, 투구",던진 거리,(소파 등에 씌울 수 있는) 덮개,,,,,,,,,,,,,,,,,,,
fulfill,"&lt;의무·약속·직무 등을&gt; 다하다, 이행하다, 수행하다; 끝내다, 완료하다; &lt;명령·조건·계획·약속 등을&gt; 실행하다, 완수하다, 준수하다, 지키다","&lt;소망·야심 등을&gt; 달성하다;[보통 수동형으로] &lt;기원·예언을&gt; 성취[실현]시키다; &lt;필요·요건·부족분 등을&gt; 채우다, 만족시키다","&lt;기한을&gt; 종료하다, 마치다","[~ oneself로] 자신의 소질을 충분히 발휘하다, 자기를 실현하다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
novel,(장편) 소설,"(이전에 볼 수 없던) 새로운, 신기한",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribute,"(사람들에게) 나누어 주다, 분배[배부]하다",(상품을) 유통시키다,(어느 범위에 걸쳐) 나누어 퍼뜨리다[분포시키다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
millard,남자 이름.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
episode,(사람의 인생·소설 등에서 중요하거나 재미있는) 사건[에피소드],(라디오·텔레비전 연속 프로의) 1회 방송분,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
govern,(국가·국민을) 통치하다[다스리다],지배[좌우/통제]하다,(한 단어가 다른 단어나 구를) 지배하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dts,(알코올 중독에 의한) 섬망증(delirium tremens의 약어),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hot,(날씨기온온도가) 더운[뜨거운],더운,(더위를 느끼게 하는) 더운,"매운, 얼얼한",(활동언쟁격한 감정으로) 치열한[뜨거운/열띤],(처리가) 힘든[위험한],인기 있는,(소식이 보통 신나고) 새로운,"유망한, 성공 가능성이 있는",~에 정통한[박식한],(성질이) 불같은[화를 잘 내는],(성적으로) 흥분되는[흥분시키는],"너무 충격적인, 논란의 소지가 많은",~에 아주 엄격한,강렬한,훔친,(아이들 놀이에서 찾는 대상이나 원하는 답에) 거의 접근한[다 맞춘],,,,,,,,,,,,,,,,,,,,,,
huber,후버,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
circumstance,"(일·사건 등을 둘러싼) 환경, 상황, 정황","(개인의, 특히 재정적인) 형편[사정]",(개인이 어쩔 수 없는 주변) 환경[상황],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hailstorm,우박을 동반한 폭풍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intent,"강한 관심[흥미]을 보이는, 몰두[열중]하는",(특히 남에게 해가 될 일을) 꾀하는[작정한],~에 전념하는,의도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allen,남자 이름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
intend,"의도[작정]하다, (…하려고) 생각하다",의미[뜻]하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trainee,"(특정한 직종을 위해) 교육을 받는 사람, 수습 (직원)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
visible,"(눈에) 보이는, 알아볼 수 있는","가시적인, 뚜렷한",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deliver,(물건·편지 등을) 배달하다; (사람을) 데리고 가다,(연설·강연 등을) 하다; (판결 등을) 내리다,(약속을) 지키다; (사람들의 기대대로 결과를) 내놓다[산출하다],"인계[인도]하다, 넘겨주다",출산을 돕다,(아기를) 출산하다,(타격 등을) 가하다; (공 등을) 던지다,(사람을) 구조[구제]하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
file,"파일, 서류철",(컴퓨터에서 정보를 모아 놓은) 파일,(파일에 보관된) 정보,(무엇을 매끈하게 다듬는 데 쓰는) 줄,(앞뒤로 늘어선) 줄,(문서 등을 정리하여) 보관하다[철하다],(소송 등을) 제기[제출]하다,발송하다,(앞뒤[종대]로) 줄지어 가다,(줄로) 다듬다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quickness,(특히 이해 등이) 빠름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effective,효과적인,"실질적인, 사실상의",시행[발효]되는,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fear,"공포, 두려움, 무서움",(…을) 두려워[무서워]하다,(…일까 봐) 우려[염려]하다,(유감스럽지만) …인 것 같다[…이다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
garnett,(지스러기 섬유를) 재생하다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attain,(보통 많은 노력 끝에) 이루다[획득하다],(특정한 나이·수준·조건에) 이르다[달하다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
belong,제자리[알맞은 위치]에 있다,소속감을 느끼다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scratch,(보통 가려운 데를) 긁다,(상처가 나도록 날카로운 것으로) 긁다[할퀴다],"(특히 실수로 손상된 자국이 나게) 긁다, 긁힌 자국을 내다",(긁어서 어떤 표시 등을) 그리다[없애다 등],(듣기 싫게) 긁히는 소리를 내다,근근이 먹고 살다,(행사경기 참가 등을[에서]) 취소[제외]하다,"긁힌[할퀸] 자국[상처], 찰과상",긁는[긁히는] 소리,(가려운 데를) 긁기,"있는 대로 그러모아 만든, 급조한",핸디캡이 없는,,,,,,,,,,,,,,,,,,,,,,,,,,,
delegate,(집단의 의사를 대표하는) 대표(자),(권한업무 등을) 위임하다,(대표를) 뽑다[선정하다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
laptop,휴대용[노트북] 컴퓨터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
risk,위험,위험 요소[요인],(은행보험사의) 우량/불량/비우량 고객[사업 대상자],(…을) 위태롭게 하다[걸다],"…을 각오해야 할 짓을 하다, …의 위험을 무릅쓰다",과감히[모험 삼아] …을 하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
acquaintance,"아는 사람, 지인","면식, (약간의) 친분",지식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
advertise,(상품이나 서비스를) 광고하다,(행사·일자리 등을) 광고하다,(자신을) 알리다[광고하다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
renovate,(낡은 건물·가구 등을) 개조[보수]하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turn,돌다; 돌리다,"(고개몸 등이 다른 방향을 향하도록) 돌리다, 몸을 돌리다, 돌아서다","(어떤 것이 다른 방향을 향하도록) 돌리다, (돌려) 놓다",(가는 방향을 바꾸어) 돌다[돌리다],(특정한 방향으로) 돌아가다[휘어지다],(총시선 등을 어떤 쪽을 향해) 돌리다[겨누다],"(조수가 밀물썰물로) 바뀌다, (바닷물이) 들어오다[나가다]",&lt;…을 어떤 장소에 들어가거나 어떤 상태가 되게 하다&gt;,(특정한 방식으로) 접다[젖히다],(공중제비 등을) 넘다[하다],(책장을) 넘기다,(경기의) 전세(戰勢)가[를] 바뀌다[바꾸다],"(…한 상태로) 변하다, …되다[해지다]; (…한 상태로) 변하게[…되게] 만들다",(어떤 나이시기가) 되다,(토할 것처럼 속이) 뒤틀리다[뒤틀리게 하다],선반(旋盤)에 대고 깎다,"돌기, 돌리기","(차량의) 방향 전환, 회전",,(도로의) 모퉁이[굽이],"(무엇을 할) 차례, 순번",(예상치 못한 방향으로의) 전환,장기 자랑,(짧은) 산책[걷기],(몸이 불편한) 느낌[기분],,,,,,,,,,,,,,
broad,(폭이) 넓은,넓이[폭]가 …인,폭넓은,일반[전반/개괄]적인,광대한,악센트[방언]가 강한,암시가 아주 분명한,외설적인,(여자를 낮춰 부르는) 계집,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arch,아치형 구조물,아치형 장식(이 붙어 있는 입구탑 등),"발바닥의 오목한 부분, 장심",아치형(의 것),(몸을[이]) 동그랗게 구부리다[구부러지다],아치 모양을 그리다[하다],(남이 모르는 것을 안다는 듯) 재미있어 하는,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sharp,"(칼날 등이) 날카로운, 뾰족한, 예리한",(특히 변화가) 급격한,"선명한, 뚜렷한, 분명한","예리한, 날카로운","날카로운, 신랄한",(소리가) 날카로운,"날카로운, 격렬한",(커브 등이) 급격한[급한],(맛냄새가) 톡 쏘는 듯한,(바람추위 등이) 얼얼한[매서운/모진],"영리한, 약삭빠른","최신 유행에 따른, 멋진",(얼굴이목구비가 둥글지 않고) 모나게[날카롭게] 생긴,"올림표[샤프]가 붙은, 반음 높은",(정확한 음보다) 높은,(하루 중의 특정 시간을 나타내는 표현 뒤에 쓰여) 정각,급히 좌/우회전을 하는,(정확한 음보다) 높게,반음 높은 음,날카로운[뾰족한] 것,,,,,,,,,,,,,,,,,,,
presented,"현재의, 현 …","있는, 참석[출석]한","있는, 존재하는",선물,"현재, 지금",,"(특히 공식적인 의식을 통해) 주다, 수여[증정]하다",(사람들이 보거나 검토하도록) 제시[제출]하다,(특정한 방식으로) 보여 주다[나타내다/묘사하다],(문제 등을) 야기하다[겪게 하다],생기다,(라디오텔레비전 프로를) 진행하다,(연극방송 등을) 공연[방송]하다,(특히 손위 사람에게 누구를 정식으로) 소개하다,(공식적인 자리에) 출석[참석/출두]하다,(말글 등으로) 표하다,(수표계산서청구서를) 내다[주다],,,,,,,,,,,,,,,,,,,,,,
cut,"베다, 자르다, 절개하다",베어[잘라] 내다,(몇 조각이 되게) 자르다[나누다],~을 잘라[깎아] (~을) 만들다,(무엇을 짧게) 자르다[깎다],(몸을 묶고 있는 밧줄 등을 잘라) ~를 (~에서) 풀어 주다[구하다],(옷을 특정한 방식으로) 재단[디자인]하다,(칼·낫 등이) 들다,(물질이) 잘리다[깎이다],~을 (~만큼) 줄이다[삭감하다]/~을 (~에서) (~로) 줄이다,(~에서) ~을 빼다[삭제하다],(컴퓨터 화면에서 텍스트의 일부를 다른 데로 옮기기 위해) 오리다[잘라 내다],그만하다(남에게 하고 있는 행동을 그만 두라고 말할 때 씀),(관계·연락을) 끊다,편집하다,"(촬영·녹음을) 중지하다, 컷",(장면이 빠르게) (~에서) ~로 바뀌다,(수업을) 빼 먹다,마음을 아프게 하다,(패를) 들치다[떼다],(다른 선과) 교차하다,이가 나다,음반 등을 녹음[제작]하다,(마약인) ~을 (~과) 섞다[혼합하다],"(베인[긁힌]) 상처, 자상",(날카로운 것으로) 자른 부분[구멍],"(양·크기·공급 등의) 삭감, 감축, 인하",(머리) 깎기[깎은 스타일],"마름질, 재단 (상태)","(특히 돈으로 주는) 몫, 배당",(영화·연극·글의 일부분에 대한) 삭제,(동물에서 잘라 낸 고기) 덩어리,,,,,,,
addition,덧셈,"추가된 것, 부가물","추가, 부가",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poll,여론 조사,투표; 개표,투표수; 득표수,득표하다,여론 조사를 하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ny,뉴욕(New York),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unemployment,"실업, 실업률, 실업자 수",실직[실업] 상태,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
compute,계산[산출]하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reprint,(책 등의) 재판[중판]을 찍다,(책 등의) 재판[중판] (간행),재판[중판](으로 찍은 책),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
outline,개요를 서술하다,윤곽을 보여주다[나타내다],개요,윤곽,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
breakfast,"아침(밥), 아침 식사",아침(밥)을 먹다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oblige,의무적으로[부득이] …하게 하다,"돕다, (도움 등을) 베풀다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
floppy,"헐렁한, 늘어진; 딱딱하지 않은",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
expand,확대[확장/팽창]되다; 확대[확장/팽창]시키다,(사업이[을]) 확장되다[시키다],말을 덧붙이다[더 상세히 하다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trustee,신탁 관리자,(기금을 위탁 받아 운영하는 자선 단체 따위의) 이사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
terrify,(몹시) 무섭게[겁먹게] 하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tim,남자 이름 ((Timothy의 애칭)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chestnut,밤나무,밤,"밤색, 적갈색","구렁말, 밤색 말",케케묵은 농담[이야기],밤색[적갈색]의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inspect,(특히 모든 것이 제대로 되어 있는지 확인하기 위해) 점검[검사]하다,(공식적으로 학교·공장 등을 방문하여) 사찰[순시]하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daily,"매일 일어나는[행해지는/만들어지는], 나날의",하루 작업[업무]량의,"일일, 하루",일간지,"(집안일) 도우미, 파출부",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
match,성냥,"경기, 시합",(힘기량지능 등에서 맞먹는) 맞수[호적수],아주 잘 어울리는 사람[것],…와 똑같은[아주 비슷한] 것,결혼; 결혼 상대,"어울리다, (색깔무늬스타일이 서로) 맞다","일치하다, 아주 비슷하다",(관련 있거나 비슷한 것을) 연결시키다,"맞먹다, 필적[대등]하다",대등하게[더 낫게] 만들다,(필요에) 맞추다[부응하다],,,,,,,,,,,,,,,,,,,,,,,,,,,
inspire,(욕구·자신감·열의를 갖도록) 고무[격려]하다,영감을 주다,(감정 등을) 불어넣다[고취시키다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
creator,창조[창안/창작]자,"창조주, 하느님",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pole,"막대기, 기둥, 장대(특히 한 쪽 끝을 땅에 박고 다른 것을 지탱하는 데 쓰는 나무금속으로 된 것)",(지구의) 극,(자석의) 극,(서로 대조되는) 극,(강바닥에 장대 끝을 박고) 장대로 배를 밀고 가다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
place,장소,(특정한 도시건물 등을 가리키는) 곳,(특정한 목적을 위한) 장소[곳],(특히 사람 몸의) 부위; (표면상의 어느) 부분[곳],(책연설음악 등에서 읽던말하던연주하던) 위치[부분],(사람차 등이 앉거나 들어갈) 자리,(다른 것들과의 관계에서 차지하는 역할중요성이란 의미의) 위치[자리],(특히 학교대학강좌에서 공부를 할 수 있는) 자리,&lt;스포츠 팀의 일원으로서 차지하는 자리&gt;,(무엇이 들어갈 자연스러운올바른) 자리,(사람에게 알맞거나 안전한) 곳[지역],"살 곳, 주택, 아파트; (개인의) 집",(경주대회에서 입상권에 드는) 등위,(소수점 이하의) 자리,&lt;짧은 거리광장 이름에 쓰임&gt;,"(조심스럽게) 놓다[두다], 설치[배치]하다",(특정한 상황에) 두다[처하게 하다],(중요성가치 등을) 두다,(신원정체와 관련하여) 누구[무엇]인지를 알아보다[생각해 내다],(지시명령주문 등을) 하다,(사람에게 집직장 등을) 찾아[구해] 주다,(등급순위 등을 …로) 평가하다[보다],"(경마경주에서 참가자를) …위로 발표하다[(결승선에) 들어오게 하다], 입상시키다; 입상하다",,,,,,,,,,,,,,,,
ahn,육군보건간호사(army health nurse),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flavor,,"(독특한) 풍미, 향미, 맛(savor); [C] 향미료, 조미료, 양념(flavoring)","멋, 운치, 정취","(신랄한) 맛, (비꼼 등의) 기미 ((of))","(물건·사람의) 특징, 특색",변종,플레이버 ((쿼크나 중성자를 식별하는 내부 양자수)),,"&lt;음식물에&gt; (…로) 풍미[향기]를 더하다, 맛을 내다 ((with))",&lt;생활·이야기 등에&gt; (…로) 멋을 더하다 ((with)),(…의) 맛이 나다 ((of)),,,,,,,,,,,,,,,,,,,,,,,,,,,,
